ID,ID.side,Sex,Sex1,YEAR1,YEARLAST,ANIMAL_YRS,N
2022,2022-LEFT,UNK,UNK,2002,2002,0,1
2025,2025-RIGHT,UNK,UNK,2002,2002,0,2
2028,2028-LEFT,MaleM,UNK,2002,2015,13,16
2029,2029-LEFT,UNK,UNK,2002,2002,0,2
2030,2030-LEFT,UNK,UNK,2002,2002,0,2
2032,2032-RIGHT,UNK,UNK,2002,2002,0,2
2033,2033-LEFT,UNK,UNK,2002,2002,0,3
2034,2034-RIGHT,UNK,UNK,2002,2002,0,2
2036,2036-RIGHT,UNK,UNK,2002,2002,0,2
2038,2038-RIGHT,UNK,UNK,2002,2002,0,3
2040,2040-LEFT,UNK,UNK,2002,2002,0,4
2041,2041-LEFT,UNK,UNK,2002,2002,0,4
2042,2042-LEFT,UNK,UNK,2002,2002,0,3
2044,2044-RIGHT,UNK,UNK,2002,2002,0,1
2048,2048-LEFT,MaleM,UNK,2002,2019,17,24
2049,2049-RIGHT,UNK,UNK,2002,2002,0,2
2052,2052-LEFT,UNK,UNK,2002,2002,0,1
2055,2055-RIGHT,UNK,UNK,2002,2002,0,2
2056,2056-LEFT,UNK,UNK,2002,2002,0,1
2062,2062-RIGHT,MaleM,UNK,2002,2002,0,4
207,207-LEFT,UNK,UNK,1989,1989,0,2
2077,2077-RIGHT,UNK,UNK,2002,2002,0,1
208,208-RIGHT,MaleM,UNK,1989,1990,1,4
2081,2081-RIGHT,UNK,UNK,2002,2002,0,1
2089,2089-RIGHT,UNK,UNK,2002,2002,0,3
2090,2090-RIGHT,MaleM,UNK,2002,2002,0,3
2096,2096-LEFT,UNK,UNK,2002,2002,0,2
2097,2097-LEFT,UNK,UNK,2002,2002,0,1
21,21-LEFT,MaleM,UNK,1989,1990,1,4
21,21-RIGHT,MaleM,UNK,1990,1990,0,3
2101,2101-LEFT,UNK,UNK,2002,2002,0,3
2102,2102-LEFT,MaleM,UNK,1999,2013,14,12
2102,2102-RIGHT,MaleM,UNK,1999,2013,14,7
2103,2103-LEFT,UNK,UNK,2002,2002,0,1
2104,2104-LEFT,UNK,UNK,2002,2002,0,2
2106,2106-RIGHT,UNK,UNK,2002,2002,0,2
2107,2107-RIGHT,MaleM,UNK,2002,2003,1,4
2109,2109-LEFT,UNK,UNK,2002,2002,0,3
2110,2110-LEFT,UNK,UNK,2002,2002,0,1
2112,2112-RIGHT,UNK,UNK,2002,2002,0,1
2116,2116-LEFT,UNK,UNK,2002,2002,0,1
2116,2116-RIGHT,UNK,UNK,2002,2002,0,1
213,213-LEFT,UNK,UNK,1990,2002,12,6
213,213-RIGHT,UNK,UNK,1990,2002,12,8
2130,2130-RIGHT,FemaleJ,Female,2002,2002,0,2
2131,2131-LEFT,UNK,UNK,2002,2002,0,1
2133,2133-LEFT,UNK,UNK,2002,2002,0,2
2135,2135-LEFT,UNK,UNK,2002,2002,0,1
2137,2137-RIGHT,UNK,UNK,2002,2002,0,1
2138,2138-RIGHT,MaleM,Male,2002,2002,0,2
2144,2144-LEFT,UNK,UNK,2002,2002,0,3
2146,2146-RIGHT,UNK,UNK,2002,2002,0,1
2147,2147-RIGHT,FemaleJ,Female,2002,2002,0,2
2148,2148-RIGHT,UNK,UNK,2002,2002,0,2
